etat,code,libelle,note
TFT,ZG,VARIATION DE LA TRESORERIE NETTE DE LA PERIODE ( B+C+F),
TFT,ZH,Trésorerie nette au 31 Décembre (G+A),
RESULTAT_FISCAL,10,BENEFICE NET COMPTABLE ou PERTE NETTE COMPTABLE,
RESULTAT_FISCAL,11,Amortissements exédentaires et autres amortissements non déductibles,
RESULTAT_FISCAL,12,Amortissements réputés différés créés au titre de l'exercice,
RESULTAT_FISCAL,15,"Impôts sur le revenu (IR ou IS) ou Minimum Forfaitaire de Perception (MFP), Impôts non payés",
RESULTAT_FISCAL,20,Provisions et charges à payer non déductibles,
RESULTAT_FISCAL,25,Amendes et pénalités de toute nature,
RESULTAT_FISCAL,30,"Rémunération du travail de l'exploitant, des associés ou des membres de sociétés des sociéts soumises à  l'impôt sur  le revenu",
RESULTAT_FISCAL,40,Charges et dépenses somptuaires,
RESULTAT_FISCAL,45,Jetons de présence non déductibles,
RESULTAT_FISCAL,50,Quote-part de charges liées aux titres de placement exonérés,
RESULTAT_FISCAL,60,Intérêts excédentaires des comptes courants d'associés et assimilés (article 99 - m du CGI),
RESULTAT_FISCAL,80,Autres réintégrations (à détailler à la Page 59 : Détail autres réint. ),
RESULTAT_FISCAL,90,"Provisions et charges à payer non déductibles, antérieurement taxées et reprises dans les résultats comptables de l'exercice",
RESULTAT_FISCAL,95,Quote-part des revenus des titres de placement exonérés (S.A),
RESULTAT_FISCAL,100,Plus-values exonérées,
RESULTAT_FISCAL,120,Réduction d'impôt pour investissement de bénéfice,
RESULTAT_FISCAL,125,Autres déductions (à détailler à la page 60 : Détail autres déductions),
RESULTAT_FISCAL,145,Résultat fiscal avant imputation des déficits reportables et des amortissements réputés différés,
RESULTAT_FISCAL,150,Déficits antérieurs imputés sur le résultat de l'exercice (à détailler à la page 63),
RESULTAT_FISCAL,155,Amortissements réputés différés antérieurs imputés sur le résutat de l'exercice (à détailler à la page 63),
RESULTAT_FISCAL,160,RESULTAT FISCAL  DROIT COMMUN  (1)  Bénéficaire / Déficitaire (- / +),
RESULTAT_FISCAL,165,Déduction :  quote-part du bénéfice exonéré (entités bénéficiant de régime dérogatoire),
RESULTAT_FISCAL,170,RESULTAT FISCAL DEFINITIF (1) Bénéficaire / Déficitaire (- / +),
LIQUIDATION_IS,A,Chiffre d'affaires,
LIQUIDATION_IS,B,Marge ( Produits à marge bloquée),
LIQUIDATION_IS,C,Base Minimum forfaitaire de perception (A+B),
LIQUIDATION_IS,D,Minimum forfaitaire de perception,
LIQUIDATION_IS,E,RESULTAT FISCAL DEFINITIF (1) Bénéficaire / Déficitaire (- / +),
LIQUIDATION_IS,F,CALCUL DE L'IMPÔT (IS / IR) droit commun,
LIQUIDATION_IS,G,Impôt dû (max D: F),
LIQUIDATION_IS,H,CALCUL DE L'IMPÔT (IS / IR / MFP) régime dérogatoire,
LIQUIDATION_IS,I,CREDIT D'IMPOT IMPUTABLE AU TITRE DES REVENUS DES CAPITAUX MOBILIERS (R.C.M),
LIQUIDATION_IS,J,CREDIT D'IMPOT ACQUIS PAR LES ENTITES BENEFICIANT DE REGIME DEROGATOIRE (A détailler à la page 63 ),
LIQUIDATION_IS,K,MONTANT DE L'IMPOT NET LIQUIDE,
LIQUIDATION_IS,L,PENALITE POUR DEPOT TARDIF,
